geocode;municipality;Disease_Burden;deorg;tot2010;prop_urb2010;prop_rur2010;ipm
1200344;Manoel Urbano;406.0;0.0095190290138195;7981.0;0.661320636511715;0.338679363488285;0.3048708345
1200351;Marechal Thaumaturgo;2196.0;0.0045313842496145;14227.0;0.27897659380052;0.72102340619948;0.281195183
1200385;Plácido de Castro;18406.0;0.111590038314176;17209.0;0.603288976698239;0.396711023301761;0.18603495225
1200393;Porto Walter;5364.0;0.005543537047052001;9176.0;0.362140366172624;0.637859633827376;0.27915170325
1200401;Rio Branco;34786.0;0.0387531823369325;336038.0;0.918184848142174;0.0818151518578256;0.15424675575
1200427;Rodrigues Alves;97309.0;0.0188998589562765;14389.0;0.299881854194176;0.700118145805824;0.236220144
1200435;Santa Rosa do Purus;154.0;0.0033734326268219997;4691.0;0.403325516947346;0.596674483052654;0.2738601605
1200450;Senador Guiomard;11194.0;0.0701342281879195;20179.0;0.629515833292036;0.370484166707964;0.17628296275
1200500;Sena Madureira;2428.0;0.014618705270139;38029.0;0.660338162980883;0.339661837019117;0.2669121
1200609;Tarauacá;21776.0;0.0080159135634275;35590.0;0.543720146108457;0.456279853891543;0.28307583725
1200708;Xapuri;3076.0;0.0327574316721715;16091.0;0.641973774159468;0.358026225840532;0.20339613425
1200807;Porto Acre;4689.0;0.0759943707873495;14880.0;0.133198924731183;0.866801075268817;0.19050157875
1300029;Alvarães;27402.0;0.004649297913361;14088.0;0.559838160136286;0.440161839863714;0.27057410675
1300060;Amaturá;422.0;0.019750249316241912;9467.0;0.523925213900919;0.476074786099081;0.28786040975
1300086;Anamã;2652.0;0.0043486097967645;10214.0;0.408654787546505;0.591345212453495;0.26179574825
1300102;Anori;1108.0;0.02004898045724291;16317.0;0.612857755714899;0.387142244285101;0.27373710875
1300144;Apuí;14617.0;0.00987532575992;18007.0;0.588382295773866;0.411617704226134;0.237660928
1300201;Atalaia do Norte;32854.0;0.03838107893965282;15153.0;0.454893420444796;0.545106579555204;0.29036031675
1300300;Autazes;40620.0;0.0207324602736165;32135.0;0.432332347907266;0.567667652092734;0.239376011
1300409;Barcelos;55579.0;0.03838107893965282;25718.0;0.433820670347616;0.566179329652383;0.2390414485
1300508;Barreirinha;151.0;0.008521822236381;27355.0;0.453957229025772;0.546042770974228;0.27224667775
1300607;Benjamin Constant;6225.0;0.03838107893965282;33411.0;0.60273562599144;0.39726437400856;0.253193804
1300631;Beruri;11518.0;0.01978616569242741;15486.0;0.502260105902105;0.497739894097895;0.28848370175
1300680;Boa Vista do Ramos;92.0;0.008049954860066;14979.0;0.504038987916416;0.495961012083584;0.2655390205
1300706;Boca do Acre;24396.0;0.023424183199022;30632.0;0.631627056672761;0.368372943327239;0.27586926375
1300805;Borba;61194.0;0.03838107893965282;34961.0;0.412860044049083;0.587139955950917;0.25372532875
1300839;Caapiranga;19278.0;0.02075101197418891;10975.0;0.468337129840547;0.531662870159453;0.254721209
1300904;Canutama;12970.0;0.008991961913961;12738.0;0.524572146333804;0.475427853666196;0.28873980825
1301001;Carauari;5883.0;0.01971649155827841;25774.0;0.766043299449057;0.233956700550943;0.28476324649999996
1301100;Careiro;101871.0;0.0119920402178465;32734.0;0.288293517443637;0.711706482556363;0.228138132
1301159;Careiro da Várzea;8213.0;0.053123802223074;23930.0;0.0417885499373172;0.958211450062683;0.16737050375
1301209;Coari;81027.0;0.03838107893965282;75965.0;0.653603633252156;0.346396366747844;0.26094565925
1301308;Codajás;5883.0;0.01977184122804041;23206.0;0.681116952512281;0.318883047487719;0.26169186275
1301407;Eirunepé;10767.0;0.02157769082440341;30665.0;0.722843632806131;0.277156367193869;0.30309940625
1301506;Envira;453.0;0.008305497294078;16338.0;0.645856285959114;0.354143714040886;0.30067150225
1301605;Fonte Boa;1854.0;0.02001781052584441;22817.0;0.662444668448964;0.337555331551037;0.309023488
1301654;Guajará;49954.0;0.0095829579096405;13974.0;0.531487047373694;0.468512952626306;0.3102211255
1301704;Humaitá;55259.0;0.002768858722159;44227.0;0.689646595970787;0.310353404029213;0.264498399
1301803;Ipixuna;17170.0;0.0030986096394055;22254.0;0.426844612204548;0.573155387795452;0.326631245
1301852;Iranduba;60596.0;0.036553379094816006;40781.0;0.710600524754175;0.289399475245825;0.184576122
1301902;Itacoatiara;56397.0;0.020217414970218;86839.0;0.669710613894679;0.330289386105321;0.218695458
1301951;Itamarati;1183.0;0.03838107893965282;8038.0;0.556357302811645;0.443642697188355;0.34253606175
1302009;Itapiranga;12327.0;0.0031020220588235;8211.0;0.785653391791499;0.214346608208501;0.25004557125
1302108;Japurá;6472.0;0.03838107893965282;7326.0;0.45017745017745;0.54982254982255;0.2346654015
1302207;Juruá;5171.0;0.01983388062520391;10802.0;0.526384002962414;0.473615997037586;0.3047656855
1302306;Jutaí;27811.0;0.03838107893965282;17992.0;0.586482881280569;0.413517118719431;0.29389647575
1302405;Lábrea;48563.0;0.019376746421134503;37701.0;0.642078459457309;0.357921540542691;0.283928024
1302504;Manacapuru;81882.0;0.0142280368026705;85141.0;0.706757026579439;0.293242973420561;0.23512286175
1302553;Manaquiri;14033.0;0.0056548856548855;22801.0;0.309723257751853;0.690276742248147;0.22971218875
1302603;Manaus;678111.0;0.0072519276319105;1802014.0;0.994931781884048;0.0050682181159524;0.17354566175
1302702;Manicoré;62415.0;0.008355169060014999;47017.0;0.432800901801476;0.567199098198524;0.24765630875
1302801;Maraã;7818.0;0.02019634401186341;17528.0;0.499372432679142;0.500627567320858;0.2685941195
1302900;Maués;4131.0;0.0028929553767569997;52236.0;0.494524848763305;0.505475151236695;0.26823196675
1303007;Nhamundá;3096.0;0.0019482568228425;18278.0;0.383521172994857;0.616478827005143;0.25395321275
1303106;Nova Olinda do Norte;4131.0;0.006514525355754;30696.0;0.443901485535575;0.556098514464425;0.29789584375
