municipality;geocode;Disease_Burden
Oiapoque;1600501;61243
Olho d'Água das Cunhãs;2107407;156
Olinda Nova do Maranhão;2107456;103
Oliveira de Fátima;1715507;6
Oriximiná;1505304;12901
Ourilândia do Norte;1505437;728
Ouro Preto do Oeste;1100155;7588
Ourém;1505403;428
Pacajá;1505486;71086
Pacaraima;1400456;4627
Palestina do Pará;1505494;356
Palmas;1721000;12096
Palmeirante;1715705;18
Palmeiras do Tocantins;1713809;46
Palmeirândia;2107605;211
Palmeirópolis;1715754;336
Paragominas;1505502;27149
Paraibano;2107704;322
Paranatinga;5106307;1741
Paranaíta;5106299;1001
Paranã;1716208;112
Parauapebas;1505536;7925
Paraíso do Tocantins;1716109;2825
Parecis;1101450;453
Parintins;1303403;3035
Pastos Bons;2108009;404
Pau D'Arco;1505551;433
Pau D'Arco;1716307;17
Pauini;1303502;4285
Paulo Ramos;2108108;844
Paço do Lumiar;2107506;938
Pedra Branca do Amapari;1600154;15698
Pedra Preta;5106372;289
Pedreiras;2108207;1068
Pedro Afonso;1716505;201
Pedro do Rosário;2108256;871
Peixe;1716604;243
Peixe-Boi;1505601;271
Peixoto de Azevedo;5106422;2559
Penalva;2108306;577
Pequizeiro;1716653;260
Peri Mirim;2108405;29
Peritoró;2108454;147
Pimenta Bueno;1100189;4027
Pimenteiras do Oeste;1101468;556
Pindaré-Mirim;2108504;1904
Pindorama do Tocantins;1717008;107
Pinheiro;2108603;2608
Pio XII;2108702;601
Pirapemas;2108801;317
Piraquê;1717206;128
Pium;1717503;274
Piçarra;1505635;371
Placas;1505650;1519
Planalto da Serra;5106455;21
Plácido de Castro;1200385;18406
Poconé;5106505;95
Ponta de Pedras;1505700;4890
Pontal do Araguaia;5106653;299
Ponte Alta do Bom Jesus;1717800;36
Ponte Alta do Tocantins;1717909;168
Ponte Branca;5106703;37
Pontes e Lacerda;5106752;1856
Portel;1505809;18636
Porto Acre;1200807;4689
Porto Alegre do Norte;5106778;274
Porto Alegre do Tocantins;1718006;36
Porto Esperidião;5106828;182
Porto Estrela;5106851;34
Porto Franco;2109007;378
Porto Grande;1600535;29585
Porto Nacional;1718204;1282
Porto Rico do Maranhão;2109056;357
Porto Velho;1100205;479070
Porto Walter;1200393;5364
